"username","emoji","count"
"pyrus277","😂","4"
"Ellie Shakeri","🤣","1"
"Kyle Jensen","😂","1"
"hiroshi","😂","2"
"Eko","😂","4"
"Abanurk","😂","4"
"hiroshi","🤣","5"
"pyrus277","🤣","2"
"arita09","😂","1"
"Ellie Shakeri","🤣","2"
"kmack","😂","1"
"pyrus277","😂","1"
"pyrus277","😂","1"
"pyrus277","😂","1"
"hiroshi","😂","2"
"pyrus277","😂","1"
"hiroshi","😂","1"
"hiroshi","🤣","2"
"Ellie Shakeri","🤣","1"
"hiroshi","😂","2"
"hiroshi","🤣","5"
"pyrus277","😂","3"
"hiroshi","🤣","1"
"test12349","😂","1"
"pyrus277","😂","2"
"pyrus277","😂","4"
"Ellie Shakeri","🤣","1"
"arita09","😂","2"
"hiroshi","😂","1"
"Ellie Shakeri","🤣","4"
"hiroshi","😂","1"
"pyrus277","😂","1"
"arita09","😂","1"
"pyrus277","😂","1"
"kmack","🤣","3"
"Ellie Shakeri","🤣","1"
"Daniel Logan","😂","1"
"Kyle Jensen","😂","3"
"Ellie Shakeri","🤣","1"
"pyrus277","🤣","1"
"Ellie Shakeri","😂","4"
"pyrus277","😂","3"
"pyrus277","😂","1"
"hiroshi","😂","2"
"pyrus277","😂","5"
"pyrus277","🤣","2"
"hiroshi","😂","2"
"pyrus277","😂","3"
"arita09","😂","3"
"arita09","😂","3"
"arita09","😂","4"
"Kyle Jensen","🤣","3"
"arita09","😂","2"
"kmack","😂","1"
"pyrus277","😂","4"
"arita09","😂","3"
"kmack","🤣","1"
"Kyle Jensen","😂","2"
"kmack","😂","3"
"Ellie Shakeri","😂","2"
"Kyle Jensen","🤣","1"
"Kyle Jensen","😂","6"
"Ellie Shakeri","😂","1"
"pyrus277","😂","4"
"Daniel Logan","😂","3"
"TheoreticalBartender","🤣","2"
"Putrid","😂","1"
"Jack121","🤣","2"
"Orla","🤣","1"
"willoney","🤣","1"
"Orla","🤣","1"
"willoney","😂","4"
"Putrid","🤣","2"
"sehvye","🤣","3"
"Punsmaster","🤣","2"
"Jack121","😂","2"
"Rechazar","😂","2"
"Frosted Flakes","😂","1"
"Rechazar","😂","1"
"mettc","😂","4"
"Punsmaster","😂","1"
"Frosted Flakes","🤣","2"
"TheoreticalBartender","😂","3"
"Orla","🤣","1"
"Putrid","🤣","1"
"Punsmaster","🤣","1"
"Frosted Flakes","😂","1"
"Punsmaster","😂","1"
"Frosted Flakes","😂","4"
"TheoreticalBartender","🤣","3"
"Putrid","😂","2"
"Jack121","😂","2"
"Putrid","😂","2"
"Jack121","🤣","4"
"Frosted Flakes","🤣","2"
"Orla","🤣","1"
"willoney","🤣","3"
"sehvye","🤣","3"
"willoney","🤣","1"
"willoney","🤣","1"
"Punsmaster","😂","1"
"Punsmaster","😂","1"
"willoney","🤣","1"
"TheoreticalBartender","😂","1"
"Yatsor","🤣","1"
"Yatsor","😂","1"
"Punsmaster","🤣","4"
"Putrid","🤣","1"
"TheoreticalBartender","🤣","1"
"Frosted Flakes","🤣","1"
"sehvye","🤣","4"
"willoney","🤣","2"
"willoney","😂","3"
"Frosted Flakes","🤣","2"
"Yatsor","🤣","2"
"Yatsor","🤣","1"
"Yatsor","😂","1"
"TheoreticalBartender","😂","1"
"Frosted Flakes","😂","2"
"willoney","😂","2"
"Jack121","😂","5"
"Frosted Flakes","😂","1"
"sehvye","😂","1"
"TheoreticalBartender","😂","1"
"Rechazar","🤣","1"
"sehvye","😂","2"
"sehvye","🤣","1"
"Yatsor","😂","2"
"hiroshi","🤣","4"
"Yatsor","🤣","1"
"Yatsor","😂","2"
"Orla","🤣","2"
"TheoreticalBartender","🤣","1"
"TheoreticalBartender","🤣","5"
"Jack121","🤣","2"
"Jack121","🤣","3"
"TheoreticalBartender","😂","2"
"Frosted Flakes","🤣","1"
"willoney","😂","1"
"Putrid","🤣","3"
"Yatsor","😂","1"
"Punsmaster","🤣","3"
"Putrid","🤣","2"
"Frosted Flakes","🤣","1"
"Putrid","🤣","2"
"Yatsor","🤣","1"
"sehvye","😂","1"
"m57848","😂","1"
"Frosted Flakes","😂","6"
"Putrid","🤣","2"
"Frosted Flakes","😂","1"
"Punsmaster","🤣","3"
"Punsmaster","🤣","1"
"TheoreticalBartender","🤣","2"
"Frosted Flakes","🤣","3"
"TheoreticalBartender","🤣","2"
"Boozle","🤣","1"
"Yatsor","😂","4"
"sehvye","🤣","1"
"Frosted Flakes","🤣","1"
"Jack121","😂","3"
"Punsmaster","🤣","1"
"Punsmaster","🤣","1"
"Putrid","🤣","1"
"willoney","😂","3"
"LogicalNonsense","🤣","1"
"Orla","😂","1"
"TheoreticalBartender","🤣","1"
"willoney","😂","2"
"Rechazar","🤣","1"
"Rechazar","🤣","1"
"Orla","🤣","1"
"Punsmaster","🤣","1"
"Punsmaster","🤣","2"
"Punsmaster","🤣","1"
"Rechazar","🤣","2"
"Punsmaster","🤣","1"
"Punsmaster","🤣","1"
"Boozle","😂","2"
"Boozle","🤣","1"
"Boozle","🤣","1"
"Rechazar","😂","2"
"m57848","🤣","2"
"TheoreticalBartender","🤣","1"
"Boozle","😂","5"
"Jack121","🤣","3"
"Yatsor","😂","5"
"Frosted Flakes","😂","4"
"Jack121","😂","3"
"Yatsor","🤣","1"
"Boozle","😂","2"
"TheoreticalBartender","🤣","1"
"Jack121","🤣","2"
"Boozle","🤣","1"
"Jack121","🤣","1"
"Frosted Flakes","😂","1"
"Frosted Flakes","😂","1"
"Boozle","😂","2"
"Punsmaster","🤣","1"
"Rechazar","🤣","1"
"Hose-A","🤣","1"
"Orla","🤣","1"
"Frosted Flakes","🤣","1"
"Boozle","😂","3"
"Boozle","🤣","1"
"Putrid","🤣","1"
"Boozle","😂","2"
"Boozle","🤣","1"
"Rechazar","🤣","1"
"Rechazar","🤣","1"
"Frosted Flakes","🤣","1"
"m57848","😂","3"
"Boozle","😂","2"
"Orla","🤣","1"
"Hose-A","🤣","1"
"Boozle","🤣","4"
"Boozle","😂","1"
"sehvye","🤣","1"
"Hose-A","🤣","1"
"Putrid","🤣","1"
"m57848","🤣","1"
"Jack121","😂","4"
"Boozle","😂","1"
"sehvye","😂","1"
"sehvye","😂","2"
"Boozle","😂","4"
"Punsmaster","🤣","2"
"Putrid","😂","1"
"Frosted Flakes","😂","1"
"sehvye","🤣","4"
"TheoreticalBartender","😂","4"
"Putrid","😂","1"
"Putrid","😂","2"
"Rechazar","🤣","1"
"Punsmaster","😂","1"
"willoney","😂","1"
"sehvye","😂","3"
"m57848","🤣","1"
"m57848","😂","3"
"sehvye","🤣","3"
"Boozle","🤣","3"
"sehvye","🤣","1"
"TheoreticalBartender","🤣","1"
"Jack121","😂","1"
"willoney","😂","5"
"Boozle","🤣","1"
"m57848","🤣","1"
"Punsmaster","😂","1"
"TheoreticalBartender","🤣","1"
"Boozle","🤣","2"
"Boozle","🤣","1"
"m57848","🤣","1"
"Frosted Flakes","😂","1"
"willoney","🤣","1"
"Punsmaster","🤣","1"
"sehvye","😂","2"
"Orla","😂","1"
