"timestamp","emoji","count"
"2022-10-14T20:33:47.510000+00:00","😂","4"
"2022-10-14T15:32:20.006000+00:00","🤣","1"
"2022-10-14T15:31:30.730000+00:00","😂","1"
"2022-10-14T11:21:47.045000+00:00","😂","2"
"2022-10-12T23:00:20.280000+00:00","😂","4"
"2022-10-12T22:53:25.161000+00:00","😂","4"
"2022-10-07T23:43:27.551000+00:00","🤣","5"
"2022-10-07T20:35:56.262000+00:00","🤣","2"
"2022-10-07T18:39:01.597000+00:00","😂","1"
"2022-10-07T17:44:44.261000+00:00","🤣","2"
"2022-10-07T17:28:19.432000+00:00","😂","1"
"2022-10-07T17:21:36.439000+00:00","😂","1"
"2022-10-06T16:00:00.640000+00:00","😂","1"
"2022-10-06T15:58:01.492000+00:00","😂","1"
"2022-10-05T23:27:54.669000+00:00","😂","2"
"2022-10-05T23:22:41.717000+00:00","😂","1"
"2022-10-05T23:18:15.854000+00:00","😂","1"
"2022-10-05T22:47:38.488000+00:00","🤣","2"
"2022-10-05T22:35:02.438000+00:00","🤣","1"
"2022-10-05T22:28:20.105000+00:00","😂","2"
"2022-10-03T17:00:29.370000+00:00","🤣","5"
"2022-09-30T21:16:15.398000+00:00","😂","3"
"2022-09-30T21:10:18.752000+00:00","🤣","1"
"2022-09-30T00:09:00.462000+00:00","😂","1"
"2022-09-29T21:19:14.392000+00:00","😂","2"
"2022-09-29T21:11:17.483000+00:00","😂","4"
"2022-09-29T21:07:48.229000+00:00","🤣","1"
"2022-09-29T21:07:25.313000+00:00","😂","2"
"2022-09-29T21:04:12.742000+00:00","😂","1"
"2022-09-29T21:01:42.158000+00:00","🤣","4"
"2022-09-28T19:00:12.248000+00:00","😂","1"
"2022-09-27T21:19:01.838000+00:00","😂","1"
"2022-10-28T02:23:14.056000+00:00","😂","1"
"2022-10-27T21:12:59.183000+00:00","😂","1"
"2022-10-27T20:40:30.158000+00:00","🤣","3"
"2022-10-27T20:39:11.205000+00:00","🤣","1"
"2022-10-27T20:37:37.280000+00:00","😂","1"
"2022-10-27T20:37:23.108000+00:00","😂","3"
"2022-10-27T20:36:54.348000+00:00","🤣","1"
"2022-10-23T03:39:39.478000+00:00","🤣","1"
"2022-10-03T21:34:28.116000+00:00","😂","4"
"2022-10-01T22:53:38.137000+00:00","😂","3"
"2022-09-29T18:30:07.093000+00:00","😂","1"
"2022-09-29T18:24:27.605000+00:00","😂","2"
"2022-09-28T21:40:36.672000+00:00","😂","5"
"2022-10-25T17:27:25.316000+00:00","🤣","2"
"2022-10-25T17:14:07.192000+00:00","😂","2"
"2022-10-24T01:01:44.954000+00:00","😂","3"
"2022-10-24T00:28:30.003000+00:00","😂","3"
"2022-10-21T19:30:05.041000+00:00","😂","3"
"2022-10-21T16:31:59.809000+00:00","😂","4"
"2022-10-20T19:22:04.365000+00:00","🤣","3"
"2022-10-20T19:18:30.387000+00:00","😂","2"
"2022-10-19T20:43:28.602000+00:00","😂","1"
"2022-10-19T19:40:20.936000+00:00","😂","4"
"2022-10-19T16:45:25.817000+00:00","😂","3"
"2022-10-19T15:18:23.955000+00:00","🤣","1"
"2022-10-19T15:16:59.553000+00:00","😂","2"
"2022-10-19T15:16:02.305000+00:00","😂","3"
"2022-10-19T15:08:26.476000+00:00","😂","2"
"2022-10-17T19:34:39.859000+00:00","🤣","1"
"2022-10-17T18:04:13.395000+00:00","😂","6"
"2022-10-11T19:35:08.349000+00:00","😂","1"
"2022-10-08T19:56:09.135000+00:00","😂","4"
"2022-10-07T17:39:46.648000+00:00","😂","3"
"2022-10-29T12:46:38.182000+00:00","🤣","2"
"2022-10-28T20:30:09.243000+00:00","😂","1"
"2022-10-25T22:02:40.955000+00:00","🤣","2"
"2022-10-23T00:45:25.001000+00:00","🤣","1"
